currency_from,currency_to,exchange_rate
ltc,link,1.0027112019354922
link,ltc,1.0027112019354922
ltc,link,1.0027110744252667
link,ltc,1.0027110744252667
eth,link,1.0026368660134393
link,eth,1.0026368660134393
dot,link,1.002634820636941
link,dot,1.002634820636941
ltc,eth,1.002569556081092
eth,ltc,1.002569556081092
